"study","group","trial","condition","delay","embed","radius","RR_HR","DET_HR","maxL_HR","L_HR","ENTR_HR","LAM_HR","TT_HR","delay","embed","radius","RR_Resp","DET_Resp","maxL_Resp","L_Resp","ENTR_Resp","LAM_Resp","TT_Resp"
"Study1","1_and_4","v3","SelfPaced",30,10,2.64562373610073,5.66046900794359,94.7146413981484,131,9.53113597664802,2.76943656358773,95.494210640818,14.2952777275194,12.5,2,0.408805804177442,3.88971298500435,77.3661419206661,37,3.66140172101449,1.7287395288082,94.7437676443849,6.38159697042946
"Study1","1_and_4","v4","SelfPaced",30,10,2.64562373610073,4.39466614124423,94.1979575316022,64,5.84854049874348,2.43856705600977,97.4266766299271,9.27292932286265,12.5,2,0.408805804177442,5.1011652946552,80.8842308814945,42,3.78274038051361,1.80620570388367,91.7250437828371,4.96519034217153
"Study1","2_and_3","v1","SelfPaced",30,10,2.64562373610073,3.42468301475708,93.6411801477747,28,5.6562055091303,2.30406215869044,97.9370984105512,8.3728754161556,12.5,2,0.408805804177442,4.47419723633864,75.4696915987239,39,3.68084370677732,1.74623750687955,91.4043483398322,5.21333737700499
"Study1","2_and_3","v2","SelfPaced",30,10,2.64562373610073,3.0282759821208,93.7394247038917,121,5.74786810687891,2.36761971836254,96.4490183807338,7.86820459487567,12.5,2,0.408805804177442,3.61729039591332,68.0210167856595,31,3.32471336214594,1.56220297107871,76.3612314842557,3.52178895217553
"Study1","2_and_3","v3","SelfPaced",30,10,2.64562373610073,4.11003374811887,95.6109265726802,41,7.14042471781136,2.42061951151201,98.4433305723727,13.1981682884946,12.5,2,0.408805804177442,3.82934292001771,70.8093742449867,35,3.44129092860977,1.6209086173195,90.3109791875194,4.83924542260033
"Study1","2_and_3","v4","SelfPaced",30,10,2.64562373610073,1.77160076143842,93.242734602508,51,5.14067278287462,2.26863382843444,96.7848016006656,6.85313508205919,12.5,2,0.408805804177442,4.19368098281137,72.2492562150169,34,3.5885538962462,1.70169020630348,80.1314860571832,3.66761871790433
"Study1","2_and_4","v1","SelfPaced",30,10,2.64562373610073,3.90912928333884,93.3740527485605,51,5.7954594829459,2.40279575352562,97.1455573251194,8.05047135605511,12.5,2,0.408805804177442,4.49944071067898,73.8252326783868,23,3.38641430672169,1.60669443822208,89.2812823164426,4.38515847216579
"Study1","2_and_4","v2","SelfPaced",30,10,2.64562373610073,2.68765893515753,90.6478299605447,43,5.38581367211131,2.32220723724328,96.5864833906071,7.18228279386712,12.5,2,0.408805804177442,3.54664807952517,68.551487083951,19,3.15455204056991,1.46242887033504,74.896028757724,3.49632533072024
"Study1","2_and_4","v3","SelfPaced",30,10,2.64562373610073,3.69724994714989,91.8396802486955,31,6.86853030722391,2.38193437559825,94.9076644091632,12.4128751210068,12.5,2,0.408805804177442,3.49793128093075,72.4513142492285,26,3.31422660338323,1.56287726172181,93.16936256252,5.95283018867925
"Study1","2_and_4","v4","SelfPaced",30,10,2.64562373610073,2.68088591149505,92.5713264941561,44,5.29871457785568,2.30332885405437,96.9504414842035,7.48591133004926,12.5,2,0.408805804177442,4.64894125880113,73.1366288671144,31,3.42599277978339,1.62321919228871,83.7048231961807,3.87418353638764
