"study","group","trial","condition","delay","embed","radius","RR_HR","DET_HR","maxL_HR","L_HR","ENTR_HR","LAM_HR","TT_HR","delay","embed","radius","RR_Resp","DET_Resp","maxL_Resp","L_Resp","ENTR_Resp","LAM_Resp","TT_Resp"
"Study2","G10","T3","Synchronous",30,10,2.64562373610073,2.8509669663771,93.212169896576,172,4.95805258833196,2.2251251696983,95.3076845837163,5.76355738240927,12.5,2,0.408805804177442,4.58244601006147,79.3632996066066,40,3.61714485044039,1.69872407591096,85.3702031257175,4.37449261721278
"Study2","G5","T2","TurnTaking",30,10,2.64562373610073,7.39533348410241,89.655901427491,28,4.6333712913948,2.09532163747207,92.2107350655383,5.39447096122357,12.5,2,0.408805804177442,4.07765376295211,74.3353545779039,34,3.1126557660448,1.4247145211248,85.1158990237819,3.52735697736589
"Study2","G5","T3","Conversation",30,10,2.64562373610073,5.34491069574499,84.997589825355,20,3.8289378445092,1.83068785386949,90.1063360813444,4.32963138931781,12.5,2,0.408805804177442,4.38136031918386,77.7089361974633,48,3.33278975556166,1.54765585099682,85.6469307461707,3.80355492356914
"Study2","G6","T1","TurnTaking",30,10,2.64562373610073,2.29128630321629,82.0597591565675,22,3.76505864714701,1.80169651772206,89.4071176634535,4.27975341583475,12.5,2,0.408805804177442,4.40580554924258,74.1966940372468,45,3.35584799006283,1.5480548926008,83.0371393431857,4.09188977150142
"Study2","G6","T2","Conversation",30,10,2.64562373610073,4.04174174842072,85.8239531006527,20,4.46949835432982,2.03345517345063,91.9043052816249,5.84224015516226,12.5,2,0.408805804177442,5.2306830074437,80.1801650786839,37,3.3844140039057,1.59815748213408,86.121857839226,3.93731224327141
"Study2","G7","T1","Conversation",30,10,2.64562373610073,3.86269062030613,93.1441015671765,180,6.81964270807246,2.59742461982263,97.0070292056941,9.50938862188443,12.5,2,0.408805804177442,4.52289364185528,78.7755893300248,34,3.45581957035702,1.64384468606578,91.6435328784119,4.75157302241431
"Study2","G7","T2","Synchronous",30,10,2.64562373610073,3.73001529785004,95.7192448018136,280,6.95172147665395,2.60427223612371,97.1390787904549,9.17372881355932,12.5,2,0.408805804177442,4.28059827333204,70.5964285567977,35,3.08610315186246,1.42921272678608,90.4536199882836,5.02309074777624
"Study2","G7","T3","TurnTaking",30,10,2.64562373610073,2.77887086584246,96.9269293859406,241,8.17613636363636,2.74703484243024,98.0157377984516,10.8423036465638,12.5,2,0.408805804177442,3.61764854422868,75.4306876460266,44,3.39526968057253,1.55685848176167,94.425055017499,5.73674755566027
"Study2","G8","T1","TurnTaking",30,10,2.64562373610073,13.1417053920793,96.2060101946091,212,7.79440952471457,2.7525481260412,96.7211027068329,8.51856552538371,12.5,2,0.408805804177442,4.24207160874164,70.7907203624548,48,3.19198866707674,1.46018686742481,89.8336543946822,4.18183042758727
"Study2","G8","T3","Conversation",30,10,2.64562373610073,7.4589295556797,95.7283554064986,246,7.17405637417585,2.50918002271481,96.979528935233,8.35387314989065,12.5,2,0.408805804177442,4.13287473099725,57.9856499730566,28,2.8260060382977,1.23520011542802,81.6042159038353,3.81375795673125
"Study2","G9","T2","Conversation",30,10,2.64562373610073,2.75588115021687,92.0958217804377,74,5.36029206585434,2.32680759801013,95.1953271700133,6.65006977393246,12.5,2,0.408805804177442,3.90068011750545,63.2998858108776,21,2.77100348336056,1.19775927884952,82.9201845008497,3.61814900545333
"Study2","G9","T3","TurnTaking",30,10,2.64562373610073,2.01303146926524,88.6069025871028,23,4.49750138811771,2.07574048097746,91.663293770169,5.45356329319883,12.5,2,0.408805804177442,3.63616659511965,63.3028540563481,32,2.87569284697119,1.27019255591756,83.4915169227505,3.8542867956453
