"study","group","trial","condition","delay","embed","radius","RR_HR","DET_HR","maxL_HR","L_HR","ENTR_HR","LAM_HR","TT_HR","delay","embed","radius","RR_Resp","DET_Resp","maxL_Resp","L_Resp","ENTR_Resp","LAM_Resp","TT_Resp"
"Study1","G1","T3","SelfPaced",30,10,2.64562373610073,2.98009501521249,5.6637197720474,4,2.03299340131974,0.146031421658107,11.6650233133346,2.06937444411503,12.5,2,0.408805804177442,4.24533486351808,8.38054570213338,5,2.04094165813715,0.172432012975804,15.798631541785,2.09812458137977
"Study1","G2","T3","SelfPaced",30,10,2.64562373610073,3.18262586478535,6.30877142003858,4,2.03541666666667,0.154075691438225,10.2275387235554,2.08782336463997,12.5,2,0.408805804177442,4.56830018701361,8.61354802642873,5,2.04943443653121,0.199284309212979,12.2345131769501,2.08946023154413
"Study1","G3","T1","SelfPaced",30,10,2.64562373610073,2.88919133667258,5.42375763759824,4,2.02770208900999,0.127351318713634,11.0685956537055,2.06761969593828,12.5,2,0.408805804177442,4.2523377455872,8.28324019220847,5,2.04465244744514,0.184403201038646,11.0867984111098,2.07964085820896
"Study1","G3","T2","TurnTaking",30,10,2.64562373610073,3.23770796737868,6.39622987127608,4,2.03874734607219,0.165241658665172,13.6800386338279,2.10911424903723,12.5,2,0.408805804177442,3.80640895404438,7.31942622137447,4,2.04010448678549,0.169823603910079,11.2230834536975,2.05740272865083
"Study1","G3","T3","Synchronous",30,10,2.64562373610073,4.48739051128301,9.66887735101881,4,2.04604706280684,0.188701932833445,19.7097576780614,2.23040014484881,12.5,2,0.408805804177442,4.3986805683606,8.48940968817415,5,2.04336922849978,0.180315178991079,9.96028633065307,2.04994954591322
"Study1","G4","T1","Synchronous",30,10,2.64562373610073,3.57868648894429,6.42331229680627,3,2.02792452830189,0.127451896494697,12.9016064257028,2.13657957244656,12.5,2,0.408805804177442,3.6908002894229,6.89634669452726,4,2.03994974874372,0.169311039723508,11.443229790451,2.07516943930992
"Study1","G4","T2","SelfPaced",30,10,2.64562373610073,4.01051939513478,8.07048668565872,4,2.04716572912159,0.191775539997911,16.045444465294,2.12420957542909,12.5,2,0.408805804177442,3.17738684395177,5.87813200169871,5,2.03343465045593,0.146481624921605,7.75843132660682,2.05269275474622
"Study1","G4","T3","TurnTaking",30,10,2.64562373610073,3.16433781498156,6.10759208669809,4,2.03145282076885,0.14053248081163,11.6628140854372,2.05991516436903,12.5,2,0.408805804177442,3.62850259695386,6.82833741131569,4,2.03663003663004,0.158309609638255,10.0866295711978,2.06079907353793
"Study2","G10","T1","Conversation",30,10,2.64562373610073,3.04745856841455,6.11099067851723,4,2.03146769156858,0.14074646406511,10.6062576775779,2.09207525655644,12.5,2,0.408805804177442,3.81678773543878,7.69524107069018,4,2.04281009879254,0.178535731622097,12.7959973168423,2.11264507320033
"Study2","G10","T2","TurnTaking",30,10,2.64562373610073,2.98731976250126,5.71875069107099,4,2.03515215110178,0.153192719597126,10.5986333380019,2.11347934734676,12.5,2,0.408805804177442,4.12736841662248,7.95147961676545,5,2.03933747412008,0.167220321615746,9.03617785142226,2.04480338428997
"Study2","G10","T3","Synchronous",30,10,2.64562373610073,2.98177052079854,5.74490240534093,4,2.03107049608355,0.13936664076234,10.3591394831877,2.06279411764706,12.5,2,0.408805804177442,3.95802294554851,7.7746468889007,4,2.04545984380464,0.186874975602676,12.3571162741241,2.0811072974183
"Study2","G5","T2","TurnTaking",30,10,2.64562373610073,8.05840180517713,12.5078905299977,5,2.06394011814042,0.241545915550457,27.7101750263018,2.18778856526429,12.5,2,0.408805804177442,3.74111975286819,7.46511420790385,5,2.03579189569219,0.155549683530162,8.88773266960096,2.04939472546476
"Study2","G5","T3","Conversation",30,10,2.64562373610073,6.7484064097265,13.0654971676195,5,2.06168580402657,0.235361951903022,26.6289451014175,2.15432946145723,12.5,2,0.408805804177442,3.91390228641813,7.63378615720994,4,2.03828209115923,0.16372321688492,9.80053048496362,2.0548614372945
"Study2","G6","T1","TurnTaking",30,10,2.64562373610073,2.13927671800229,4.29859595668465,4,2.02325581395349,0.110796204267599,4.28212624037551,2.02236266407389,12.5,2,0.408805804177442,3.854805855071,7.50379852789985,5,2.04070270939008,0.171649818759856,8.61606208659734,2.05847190522769
"Study2","G6","T2","Conversation",30,10,2.64562373610073,4.68422062111429,8.85585610996719,4,2.04449750379857,0.183811627114173,19.7143636175594,2.12226720647773,12.5,2,0.408805804177442,4.14064319363428,8.08395659870745,4,2.04280821917808,0.178529465953707,10.962129746487,2.07072
